resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
67,4,5,3,5,1,7,7,7,6,66,73:18.284,4398170,52,18,1:19.468,173.6170990959611,1
68,4,16,8,16,17,8,8,8,4,69,79:29.629,4769165,31,8,1:22.560,200.28423777632395,1
69,4,7,4,7,19,9,9,9,2,66,84:39.428,5079512,38,16,1:14.423,177.641096872661,1
70,4,4,2,4,15,10,10,10,1,67,81:18.193,4878749,37,17,1:11.113,214.01884522892155,1
71,4,20,10,20,1,11,11,11,0,57,77:41.924,4661805,48,3,1:27.799,199.64152852876293,1
72,4,9,5,9,1,12,12,12,0,67,70:11.390,4211017,38,8,1:22.832,194.11266677963388,1
73,4,13,7,13,15,13,13,13,0,54,68:17.578,4097580,42,15,1:11.263,206.81976704554268,1
74,4,6,3,6,14,14,14,14,0,60,82:44.911,4964297,13,20,1:18.164,192.50358384900804,1
75,4,3,2,3,18,15,15,15,0,56,85:10.329,5110361,16,1,1:18.150,178.84937497133316,1
76,4,12,6,12,2,16,16,16,0,50,91:10.814,5470656,14,20,1:21.522,217.4001981512815,1
77,4,14,7,14,20,17,17,17,0,54,77:45.804,4665175,47,9,1:16.225,171.83077407272881,1
78,4,8,4,8,17,18,18,18,0,59,79:28.157,4768073,55,17,1:18.881,209.44793285678716,1
79,4,15,8,15,9,19,19,19,0,60,84:43.493,5083467,13,13,1:30.609,213.44514568827543,1
80,4,18,9,18,5,20,20,20,0,55,79:02.377,4742234,21,10,1:11.341,211.03727310619,1
81,5,2,1,2,17,1,1,1,25,59,84:00.568,5040044,58,15,1:16.011,195.0496272889699,1
82,5,1,1,1,17,2,2,2,18,54,81:03.373,4863402,25,6,1:25.199,202.3921133777414,1
83,5,14,7,14,9,3,3,3,15,62,84:57.537,5097546,56,10,1:19.015,166.78078132968017,1
84,5,5,3,5,15,4,4,4,12,56,88:17.136,5297822,57,8,1:24.497,202.67695308492,1
85,5,6,3,6,7,5,5,5,10,52,99:48.401,5988115,51,7,1:26.272,192.81125451950197,1
86,5,4,2,4,13,6,6,6,8,51,74:51.130,4491408,46,11,1:13.935,228.28080922005537,1
87,5,11,6,11,15,7,7,7,6,66,64:57.515,3897595,38,13,1:09.721,174.31718231820074,1
88,5,19,10,19,2,8,8,8,4,52,67:52.169,4072587,43,13,1:06.140,214.59085533271627,1
89,5,10,5,10,14,9,9,9,2,69,77:39.028,4659453,58,12,1:23.696,196.56173257856483,1
90,5,16,8,16,7,10,10,10,1,69,70:46.388,4246404,10,17,1:11.002,211.35706947542542,1
91,5,17,9,17,4,11,11,11,0,67,78:56.957,4736448,46,16,1:10.704,194.00522846781595,1
92,5,12,6,12,12,12,12,12,0,54,69:35.060,4175056,46,11,1:18.379,182.33685509807046,1
93,5,15,8,15,11,13,13,13,0,62,89:10.225,5350061,34,7,1:24.563,195.72022311548983,1
94,5,18,9,18,13,14,14,14,0,63,89:49.329,5389275,52,2,1:19.824,186.81173177097995,1
95,5,9,5,9,6,15,15,15,0,54,66:37.772,3997983,56,17,1:16.520,188.89045761679492,1
96,5,3,2,3,18,16,16,16,0,66,87:14.215,5234911,12,3,1:18.997,176.5285958597575,1
97,5,20,10,20,4,17,17,17,0,63,83:59.356,5039699,43,11,1:26.616,213.67171490402166,1
98,5,13,7,13,3,18,18,18,0,51,70:06.331,4206789,51,9,1:12.462,185.6788775853201,1
99,5,7,4,7,15,19,19,19,0,55,70:47.327,4247928,14,16,1:23.601,240.204090775327,1
100,5,8,4,8,13,20,20,20,0,54,89:39.972,5379097,26,18,1:22.039,200.77755215845895,1
101,6,3,2,3,18,1,1,1,25,67,69:47.269,4187975,56,12,1:23.675,219.53798156074131,1
102,6,5,3,5,7,2,2,2,18,60,86:56.032,5216618,15,15,1:25.078,234.5083255011093,1
103,6,4,2,4,14,3,3,3,15,51,65:35.284,3935240,13,17,1:17.098,214.62430986685746,1
104,6,1,1,1,20,4,4,4,12,51,73:51.686,4431039,23,20,1:13.021,196.4451935702519,1
105,6,2,1,2,20,5,5,5,10,55,73:56.658,4436326,14,3,1:22.506,204.86615328256732,1
106,6,12,6,12,2,6,6,6,8,52,90:07.831,5407324,58,12,1:24.785,195.86865663137343,1
107,6,19,10,19,14,7,7,7,6,66,75:36.604,4536586,17,15,1:19.026,222.34591663176255,1
108,6,6,3,6,12,8,8,8,4,52,71:19.915,4279581,55,15,1:22.152,212.1502865429901,1
109,6,17,9,17,6,9,9,9,2,65,70:26.955,4226423,31,2,1:12.343,212.12330181222913,1
110,6,10,5,10,8,10,10,10,1,67,89:37.989,5377831,27,14,1:21.494,199.18284132807983,1
111,6,11,6,11,1,11,11,11,0,55,74:28.424,4468990,17,11,1:12.213,215.20829312288595,1
112,6,9,5,9,14,12,12,12,0,64,78:10.591,4690715,31,20,1:16.672,208.73427933780675,1
113,6,8,4,8,2,13,13,13,0,50,65:44.800,3944758,50,13,1:18.925,200.53771677989062,1
114,6,20,10,20,14,14,14,14,0,67,69:59.142,4199546,43,10,1:14.886,194.3779941422809,1
115,6,7,4,7,6,15,15,15,0,58,70:51.773,4251491,18,7,1:21.222,202.6556139652831,1
116,6,16,8,16,8,16,16,16,0,67,84:36.859,5076414,29,15,1:29.250,207.15851457383536,1
117,6,14,7,14,4,17,17,17,0,55,98:07.313,5887620,31,3,1:30.126,195.89490740771828,1
118,6,13,7,13,18,18,18,18,0,61,88:40.086,5320789,21,13,1:28.536,203.95821566925295,1
119,6,15,8,15,4,19,19,19,0,62,82:19.903,4939090,38,19,1:18.811,208.48331892803833,1
120,6,18,9,18,9,20,20,20,0,52,79:46.923,4786436,19,19,1:28.034,208.72647339348063,1
121,7,6,3,6,5,1,1,1,25,54,65:32.448,3932772,49,12,1:15.951,167.47564570822522,1
122,7,4,2,4,10,2,2,2,18,52,72:58.629,4378114,23,16,1:12.969,188.94744010187597,1
123,7,5,3,5,1,3,3,3,15,54,86:45.275,5205799,17,11,1:29.971,188.20042819171113,1
124,7,3,2,3,11,4,4,4,12,54,87:10.686,5230756,46,12,1:15.164,210.41328841068417,1
125,7,2,1,2,15,5,5,5,10,55,89:06.619,5346307,29,18,1:23.333,219.40597774520123,1
126,7,19,10,19,1,6,6,6,8,52,92:16.197,5536692,46,5,1:20.160,186.24913097320817,1
127,7,14,7,14,20,7,7,7,6,67,75:46.215,4546314,52,2,1:17.216,200.18583505061827,1
128,7,9,5,9,11,8,8,8,4,67,90:13.918,5413224,53,6,1:24.851,206.92976951795984,1
129,7,1,1,1,8,9,9,9,2,55,63:36.516,3816828,56,15,1:16.801,210.10854293249636,1
130,7,8,4,8,17,10,10,10,1,57,88:45.302,5325547,49,17,1:19.587,199.46411306728672,1
131,7,12,6,12,1,11,11,11,0,50,71:32.146,4292546,40,16,1:20.653,194.80788355101052,1
132,7,18,9,18,18,12,12,12,0,55,74:56.574,4496525,18,1,1:28.680,177.07309213962623,1
133,7,7,4,7,4,13,13,13,0,51,78:41.380,4721410,47,14,1:18.643,189.84640435068675,1
134,7,13,7,13,13,14,14,14,0,58,95:10.278,5710718,28,13,1:25.330,211.39900610682764,1
135,7,20,10,20,15,15,15,15,0,50,67:48.075,4068657,16,15,1:12.916,182.01676745995923,1
136,7,11,6,11,17,16,16,16,0,66,70:18.290,4218708,53,6,1:24.985,156.86038710600656,1
137,7,17,9,17,10,17,17,17,0,51,77:45.941,4665626,18,3,1:14.084,206.2415883763934,1
138,7,10,5,10,12,18,18,18,0,54,73:36.993,4416264,57,5,1:20.974,222.5223405203076,1
139,7,16,8,16,6,19,19,19,0,63,99:16.497,5956801,53,11,1:31.020,214.50302798763482,1
140,7,15,8,15,11,20,20,20,0,68,74:01.782,4441116,13,13,1:23.469,205.62382847938753,1
141,8,4,2,4,15,1,1,1,25,66,70:53.482,4253903,53,2,1:18.672,177.44991324518807,1
142,8,2,1,2,5,2,2,2,18,64,85:39.418,5139781,37,7,1:19.159,197.40358600533148,1
143,8,13,7,13,2,3,3,3,15,52,75:48.262,4548809,30,18,1:13.834,215.05404297145253,1
144,8,3,2,3,17,4,4,4,12,60,68:18.998,4098221,33,14,1:10.530,160.51725103328226,1
145,8,6,3,6,13,5,5,5,10,63,66:58.035,4018256,49,5,1:11.352,220.91470265080682,1
146,8,5,3,5,6,6,6,6,8,58,59:52.998,3592124,13,13,1:11.560,231.61908589806404,1
147,8,1,1,1,8,7,7,7,6,55,83:50.711,5030481,59,3,1:22.811,219.3081594887076,1
148,8,7,4,7,2,8,8,8,4,61,67:57.769,4077534,47,17,1:14.802,175.3306379743979,1
149,8,11,6,11,12,9,9,9,2,53,74:45.452,4485757,22,15,1:18.310,234.53667684437522,1
150,8,14,7,14,12,10,10,10,1,66,81:42.399,4902638,21,8,1:15.979,201.62553685534056,1
151,8,19,10,19,8,11,11,11,0,54,77:25.979,4645905,49,12,1:08.320,190.01405520856005,1
152,8,9,5,9,18,12,12,12,0,57,73:40.742,4420676,41,1,1:20.783,224.54100119940304,1
153,8,20,10,20,4,13,13,13,0,50,77:29.662,4649978,59,13,1:13.577,200.49704676489287,1
154,8,18,9,18,1,14,14,14,0,60,69:54.834,4194428,32,4,1:12.465,176.187028556426,1
155,8,8,4,8,15,15,15,15,0,54,84:10.243,5050897,51,12,1:24.238,200.6253375449735,1
156,8,16,8,16,3,16,16,16,0,59,87:14.669,5234798,23,6,1:24.066,154.12047319932827,1
157,8,12,6,12,15,17,17,17,0,52,74:06.577,4446253,36,2,1:16.930,219.84084699073045,1
158,8,10,5,10,2,18,18,18,0,50,78:48.163,4728313,40,14,1:20.832,199.81762006711594,1
159,8,17,9,17,3,19,19,19,0,52,99:59.936,5999621,15,13,1:26.116,211.15620612703725,1
160,8,15,8,15,15,20,20,20,0,53,70:23.172,4223962,21,13,1:19.542,178.96610223800596,1
161,9,11,6,11,20,1,1,1,25,53,75:01.545,4501768,57,18,1:15.743,199.3812200568875,1
162,9,2,1,2,10,2,2,2,18,59,75:21.396,4521771,58,9,1:22.191,224.11853615233176,1
163,9,3,2,3,2,3,3,3,15,65,63:52.028,3832731,42,10,1:16.241,220.79809374792154,1
164,9,4,2,4,8,4,4,4,12,57,77:10.944,4630113,24,17,1:30.955,187.88570153993322,1
165,9,5,3,5,12,5,5,5,10,50,76:32.086,4592932,46,8,1:25.844,197.38969840206013,1
166,9,6,3,6,17,6,6,6,8,54,74:04.147,4444197,30,8,1:25.825,211.50739254384752,1
167,9,16,8,16,15,7,7,7,6,68,93:21.390,5601337,37,19,1:21.490,199.63500069598962,1
168,9,15,8,15,10,8,8,8,4,55,81:54.622,4914549,41,16,1:26.219,155.93679078348276,1
169,9,19,10,19,9,9,9,9,2,51,76:49.462,4609595,59,3,1:20.560,204.91467965842708,1
170,9,8,4,8,9,10,10,10,1,67,73:10.777,4390198,30,4,1:15.651,182.39076070355188,1
171,9,13,7,13,16,11,11,11,0,51,77:26.522,4646715,19,15,1:14.272,198.65632838676166,1
172,9,17,9,17,20,12,12,12,0,69,83:29.724,5009988,53,19,1:14.685,160.67286821247995,1
173,9,9,5,9,17,13,13,13,0,61,69:00.232,4140511,56,18,1:13.148,222.7097003272554,1
174,9,7,4,7,14,14,14,14,0,57,74:49.237,4489123,16,12,1:18.735,232.14691152039984,1
175,9,12,6,12,13,15,15,15,0,67,80:54.769,4854306,38,15,1:20.435,174.06336104088308,1
176,9,1,1,1,12,16,16,16,0,62,87:40.277,5260270,52,5,1:17.700,211.72728037510186,1
177,9,10,5,10,7,17,17,17,0,61,94:24.366,5664403,34,5,1:23.110,228.7049405294507,1
178,9,18,9,18,1,18,18,18,0,61,76:58.260,4618780,12,1,1:21.899,175.89716415591445,1
179,9,20,10,20,2,19,19,19,0,60,77:38.472,4658338,19,14,1:18.230,182.989590915814,1
180,9,14,7,14,13,20,20,20,0,58,95:01.499,5701970,45,10,1:27.601,218.9038745402719,1
181,10,2,1,2,1,1,1,1,25,66,85:51.197,5151477,13,20,1:23.751,213.96499827555633,1
182,10,6,3,6,14,2,2,2,18,60,88:14.870,5294438,18,16,1:22.836,181.1316896998324,1
183,10,1,1,1,3,3,3,3,15,62,86:36.618,5196235,58,13,1:17.709,177.60765133421978,1
184,10,3,2,3,10,4,4,4,12,52,79:55.301,4795371,35,19,1:10.580,203.4059672432479,1
185,10,14,7,14,10,5,5,5,10,54,85:58.355,5158286,15,4,1:18.637,208.03542565117147,1
186,10,5,3,5,4,6,6,6,8,55,66:33.808,3993121,55,12,1:19.187,235.4450319333949,1
187,10,10,5,10,12,7,7,7,6,59,73:53.413,4433044,31,7,1:23.162,196.5124993926938,1
188,10,12,6,12,16,8,8,8,4,65,83:01.181,4981467,40,10,1:24.728,186.14676884339795,1
189,10,16,8,16,18,9,9,9,2,60,88:58.440,5338503,30,4,1:17.689,199.71960923484824,1
190,10,4,2,4,18,10,10,10,1,60,75:55.147,4555893,33,15,1:11.943,179.4671853052854,1
191,10,17,9,17,18,11,11,11,0,54,64:58.130,3898112,32,5,1:12.983,189.4189464530741,1
192,10,11,6,11,9,12,12,12,0,50,74:52.177,4492744,13,10,1:13.326,178.53064644521095,1
193,10,7,4,7,11,13,13,13,0,58,69:59.422,4199849,31,17,1:22.528,238.29424611995984,1
194,10,19,10,19,1,14,14,14,0,59,62:18.852,3738842,14,2,1:13.021,211.03118540424848,1
195,10,8,4,8,16,15,15,15,0,65,69:51.434,4191322,48,12,1:22.343,218.0786968217239,1
196,10,13,7,13,3,16,16,16,0,68,77:10.830,4630836,58,7,1:18.276,204.4702221265833,1
197,10,20,10,20,20,17,17,17,0,64,81:27.375,4887935,49,15,1:17.725,180.93342783482575,1
198,10,15,8,15,8,18,18,18,0,66,74:55.446,4495725,11,3,1:17.967,186.22992984145648,1
199,10,18,9,18,6,19,19,19,0,56,66:02.435,3962019,32,18,1:16.426,169.6772835979356,1
200,10,9,5,9,4,20,20,20,0,54,77:52.596,4672848,17,9,1:20.558,171.23444043365265,1
201,11,4,2,4,15,1,1,1,25,67,95:31.313,5731411,20,16,1:24.895,196.62198439385125,1
202,11,6,3,6,15,2,2,2,18,52,84:59.288,5099493,29,16,1:24.929,191.36759374563903,1
203,11,5,3,5,7,3,3,3,15,55,91:42.200,5502295,29,1,1:25.967,177.5723872385043,1
204,11,7,4,7,6,4,4,4,12,64,89:57.190,5397711,30,3,1:24.312,192.4382779803333,1
205,11,2,1,2,4,5,5,5,10,61,89:24.400,5364035,48,9,1:25.866,173.66502306355886,1
206,11,3,2,3,14,6,6,6,8,55,71:39.141,4299110,45,8,1:24.701,206.92355491665484,1
207,11,17,9,17,20,7,7,7,6,66,85:19.280,5119675,49,14,1:21.153,198.7310787211171,1
208,11,12,6,12,13,8,8,8,4,56,95:06.717,5706599,18,19,1:22.942,217.69502109526627,1
209,11,11,6,11,8,9,9,9,2,66,64:10.285,3850001,18,1,1:12.375,194.7565259427232,1
210,11,18,9,18,9,10,10,10,1,63,72:55.221,4375790,50,4,1:24.067,188.9432993075764,1
211,11,14,7,14,17,11,11,11,0,65,80:10.669,4810616,21,3,1:14.778,174.53680461514935,1
212,11,10,5,10,5,12,12,12,0,52,87:46.683,5266843,42,9,1:16.444,200.72126782939256,1
213,11,8,4,8,20,13,13,13,0,57,84:19.532,5059056,47,20,1:14.504,197.80124569259632,1
214,11,1,1,1,4,14,14,14,0,61,69:55.940,4195962,12,12,1:14.193,215.65740487162694,1
215,11,15,8,15,1,15,15,15,0,57,76:19.086,4579786,47,6,1:18.213,165.00044251562406,1
216,11,20,10,20,6,16,16,16,0,57,77:33.466,4653546,51,1,1:16.440,173.5995497755859,1
217,11,19,10,19,14,17,17,17,0,52,74:57.431,4497244,54,20,1:18.823,158.64290547128016,1
218,11,9,5,9,14,18,18,18,0,66,93:17.189,5597680,17,11,1:24.403,247.27435738593402,1
219,11,16,8,16,10,19,19,19,0,60,86:17.821,5177961,50,9,1:18.343,184.95687188818835,1
220,11,13,7,13,7,20,20,20,0,58,91:52.550,5512486,22,11,1:21.493,184.96061336522362,1
221,12,6,3,6,6,1,1,1,25,60,84:58.657,5098920,45,3,1:17.428,201.8568980228223,1
222,12,3,2,3,2,2,2,2,18,52,76:32.194,4592125,37,12,1:15.846,178.1082692089414,1
223,12,5,3,5,16,3,3,3,15,53,78:12.379,4692293,42,7,1:18.289,204.6425702371734,1
224,12,4,2,4,5,4,4,4,12,50,69:32.192,4172887,56,20,1:18.786,175.71081438494676,1
225,12,12,6,12,11,5,5,5,10,64,69:32.478,4172890,36,11,1:20.816,196.77311576696414,1
226,12,1,1,1,6,6,6,6,8,50,87:32.030,5252747,13,17,1:26.876,202.22344320579072,1
227,12,16,8,16,4,7,7,7,6,63,82:48.362,4968664,36,10,1:20.562,208.36374156935497,1
228,12,10,5,10,5,8,8,8,4,59,63:52.123,3832979,46,3,1:10.086,192.90025431773424,1
229,12,11,6,11,17,9,9,9,2,62,77:56.058,4676467,56,20,1:20.912,199.7160395117732,1
230,12,15,8,15,5,10,10,10,1,54,63:43.488,3823717,58,13,1:12.673,177.46465062180388,1
231,12,19,10,19,3,11,11,11,0,59,87:44.353,5264477,41,13,1:17.562,186.46989757101727,1
232,12,14,7,14,12,12,12,12,0,60,81:29.358,4889301,13,19,1:20.384,173.55801360110286,1
233,12,7,4,7,13,13,13,13,0,64,64:41.865,3881086,20,4,1:14.434,204.78493728222298,1
234,12,2,1,2,8,14,14,14,0,68,93:17.164,5597961,48,8,1:23.283,217.10217264309375,1
235,12,17,9,17,2,15,15,15,0,60,93:14.821,5594720,54,15,1:22.139,215.21545499341227,1
236,12,9,5,9,9,16,16,16,0,63,88:05.523,5285907,15,17,1:16.882,201.51344588094472,1
237,12,13,7,13,20,17,17,17,0,55,83:15.694,4995015,45,6,1:21.586,199.41474372630043,1
238,12,18,9,18,11,18,18,18,0,68,88:44.753,5324731,26,19,1:23.948,185.49462044077856,1
239,12,20,10,20,15,19,19,19,0,64,90:21.771,5421336,16,13,1:19.162,205.71108149715315,1
240,12,8,4,8,13,20,20,20,0,66,90:51.336,5451918,58,1,1:19.863,196.97453432692976,1
241,13,4,2,4,7,1,1,1,25,50,72:28.912,4348603,50,13,1:17.532,186.04532433396773,1
242,13,2,1,2,10,2,2,2,18,59,85:45.483,5145867,17,20,1:17.659,172.34266045491552,1
243,13,6,3,6,20,3,3,3,15,64,78:11.021,4691813,39,4,1:14.204,215.6436521591152,1
244,13,3,2,3,14,4,4,4,12,51,82:29.849,4949021,43,11,1:21.872,208.54911849990233,1
245,13,5,3,5,18,5,5,5,10,55,83:28.208,5008601,32,18,1:15.775,222.42061334648943,1
246,13,14,7,14,1,6,6,6,8,60,75:42.658,4542465,18,2,1:15.427,222.51175542080688,1
247,13,18,9,18,13,7,7,7,6,68,95:31.176,5731894,15,16,1:24.567,203.02795375786414,1
248,13,10,5,10,10,8,8,8,4,64,66:23.022,3983613,30,11,1:19.012,239.63383612800058,1
249,13,1,1,1,17,9,9,9,2,53,77:06.430,4626018,34,9,1:17.532,183.3948962192562,1
250,13,9,5,9,10,10,10,10,1,66,82:05.100,4925106,57,7,1:31.539,191.79437128058007,1
251,13,11,6,11,18,11,11,11,0,63,86:16.226,5176264,53,9,1:19.891,222.23437135048377,1
252,13,12,6,12,13,12,12,12,0,53,70:42.030,4242674,11,16,1:18.648,206.54839543301975,1
253,13,19,10,19,4,13,13,13,0,62,65:07.854,3907352,54,13,1:18.161,242.0761218425482,1
254,13,7,4,7,18,14,14,14,0,52,73:38.027,4418314,15,12,1:23.939,196.71167119077236,1
255,13,8,4,8,4,15,15,15,0,60,73:06.226,4386999,22,17,1:27.117,184.7718491343039,1
256,13,16,8,16,10,16,16,16,0,63,86:33.524,5193559,46,6,1:21.791,229.5977219982768,1
257,13,13,7,13,10,17,17,17,0,52,86:38.920,5198534,12,15,1:22.613,216.26147263258997,1
258,13,15,8,15,4,18,18,18,0,55,92:03.832,5523784,29,16,1:32.686,215.69208575796048,1
259,13,17,9,17,10,19,19,19,0,64,79:05.733,4745199,50,2,1:17.420,193.27852027699927,1
260,13,20,10,20,20,20,20,20,0,61,79:14.527,4754638,25,11,1:24.372,185.15540959616732,1
261,14,6,3,6,14,1,1,1,25,59,88:16.301,5296336,22,3,1:19.989,192.85109154379145,1
262,14,2,1,2,11,2,2,2,18,61,82:22.160,4942141,26,16,1:19.330,222.4647864964764,1
263,14,1,1,1,6,3,3,3,15,58,83:36.271,5016597,13,3,1:22.251,207.42188102627844,1
264,14,3,2,3,5,4,4,4,12,67,80:14.018,4814388,32,6,1:20.885,206.6368772651703,1
265,14,10,5,10,17,5,5,5,10,60,70:16.810,4216461,25,2,1:22.929,215.18775878618314,1
266,14,12,6,12,4,6,6,6,8,64,72:57.605,4377176,10,11,1:16.038,209.75744569742147,1
